model,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
Random Forest,0.9241883803196042,0.9241883803196042,0.9299368280076811,0.898666989822224,0.9246244578440707,0.9246244578440707,0.9302935438170408,0.8992261350106675
Decision Tree,0.9990303520768373,0.9990303520768373,0.999042434683888,0.9989849496775202,0.998663122818153,0.998663122818153,0.9986144488139734,0.9986015014225208
Naïve Bayes,0.1545378502718528,0.1545378502718528,0.9153622046294324,0.1788468989235697,0.15448005924045277,0.15448005924045277,0.9154167977545009,0.17912508192301285
