model,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1,pr_auc_class_BENIGN,pr_auc_class_Bot,pr_auc_class_DDoS,pr_auc_class_DoS GoldenEye,pr_auc_class_DoS Hulk,pr_auc_class_DoS Slowhttptest,pr_auc_class_DoS slowloris,pr_auc_class_FTP-Patator,pr_auc_class_Heartbleed,pr_auc_class_Infiltration,pr_auc_class_PortScan,pr_auc_class_SSH-Patator,pr_auc_class_Web Attack � Brute Force,pr_auc_class_Web Attack � Sql Injection,pr_auc_class_Web Attack � XSS
Random Forest,0.9133856750529028,0.9133856750529028,0.8660712146890391,0.8871957406426498,0.9137178673437004,0.9137178673437004,0.8665894436911259,0.8876718692214002,0.9870398519033354,0.001354648960056636,0.7500234343892112,0.2542950942285421,0.9269861867466944,0.054090817051032566,0.08651410157043728,0.5303849999762247,0.5961538461538461,0.0007290938838349242,0.6484374230169596,0.46175449615087355,0.430400575589542,0.07143730993413959,0.4579881118807089
Decision Tree,0.9978300514916484,0.9978300514916484,0.9978022205907282,0.9977712523063011,0.9968422722945097,0.9968422722945097,0.9967222564407815,0.9967534183043971,0.9994784616087151,0.48706897696142326,0.9990715159504727,0.9920013261014284,0.9954246747225458,0.9792177923798672,0.9917667833300052,0.9980034072255394,0.9166666666666667,0.6767683379334443,0.9958798964662297,0.9293671628694904,0.6886915981548725,0.01190664090134954,0.2852564327325269
Naïve Bayes,0.18262023690918633,0.18262023690918633,0.8362681621139078,0.26264149182327434,0.18206257272823442,0.18206257272823442,0.8377381460374681,0.26198716970744157,0.8931895052579979,0.0017754495372507585,0.5283607898903486,0.4367566764916907,0.7800757995416698,0.0600592610501489,0.05133707692579738,0.026824457569328584,1.0,7.718816819020171e-05,0.0940252996941432,0.9094382121896972,0.011272213949329878,0.14370342850067883,0.01087577571647175
XGBoost,0.9971720963550079,0.9971720963550079,0.9970184165677763,0.9969351712737217,0.9968554956098593,0.9968554956098593,0.9966012522577781,0.9966000915610571,0.9999486649614836,0.6023161677069014,0.999926730703113,0.9981929642992464,0.9993014624100254,0.9814062384742268,0.9947850771839145,0.9992400212375078,1.0,0.669023383108465,0.9972267003170546,0.9395419381757228,0.6057770665043546,0.18982566331458067,0.26828157187278057
