model,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1,pr_auc_class_BENIGN,pr_auc_class_Bot,pr_auc_class_DDoS,pr_auc_class_DoS GoldenEye,pr_auc_class_DoS Hulk,pr_auc_class_DoS Slowhttptest,pr_auc_class_DoS slowloris,pr_auc_class_FTP-Patator,pr_auc_class_Heartbleed,pr_auc_class_Infiltration,pr_auc_class_PortScan,pr_auc_class_SSH-Patator,pr_auc_class_Web Attack � Brute Force,pr_auc_class_Web Attack � Sql Injection,pr_auc_class_Web Attack � XSS
Random Forest,0.9410548307720878,0.9410548307720878,0.9189159484585017,0.9164412817985,0.8924203956415953,0.8924203956415953,0.8539363439079147,0.847497733997366,0.980199575555997,0.01306605692649507,0.6065926024539401,0.09604692900226529,0.8879760384821058,0.09699964971713748,0.10028342237133266,0.629032309990776,0.9380952380952381,0.16716074406919937,0.6022893881408123,0.48892772366980575,0.4539236622276188,1.3340457855394851e-05,0.4797505674912019
Decision Tree,0.9988049584474674,0.9988049584474674,0.9987893593082331,0.9987728134278118,0.9968647519306041,0.9968647519306041,0.9967459268956225,0.9967748775302321,0.9994911026622744,0.4950291723967706,0.9990969761144826,0.9924572977942332,0.9954429814332472,0.9796138938382627,0.9919574167219017,0.9980034072255394,0.7666673278324341,0.6761911373562436,0.9958843157832509,0.9303793981974623,0.694365619152656,0.007172869613061867,0.2885810446819628
Naïve Bayes,0.552241979664794,0.552241979664794,0.9074183396483668,0.5959948470835726,0.1797075002644663,0.1797075002644663,0.8324352222567226,0.25974164740413924,0.8885551590756853,0.002571714515275252,0.49525937652112095,0.44746349624958537,0.7789045890332214,0.03351801001769824,0.05418052980086898,0.026283991339840444,1.0,8.840722520462133e-05,0.09477825749939975,0.9087820258879247,0.010893475843659635,0.14414444925235662,0.011052256374288347
XGBoost,0.9982883761239303,0.9982883761239303,0.9981923298208636,0.9981137098639654,0.9964984660954195,0.9964984660954195,0.9962600192440088,0.9961581376263002,0.9999413311925383,0.6060116874263084,0.999919670964949,0.9978020246419342,0.9992681252356418,0.978040602573844,0.9948727893934892,0.9992201014113894,1.0,0.6675868671715878,0.9972052063725487,0.9410047561985199,0.4152807795096076,0.2858793906474351,0.21248386651564954
